name,state,faa
Iowa City Municipal Airport,IA,IOW
Jaffrey Airport Silver Ranch Airport,NH,AFN
Jekyll Island Airport,GA,09J
Dodge County Airport,WI,UNU
Kalispell City Airport,MT,S27
Lamar Municipal Airport,CO,LAA
Newport State Airport,RI,UUU
Oakdale Airport,CA,O27
Pittsfield Municipal Airport,MA,PSF
Sault Ste Marie Municipal Sanderson Field,MI,ANJ
Watts Woodland Airport,CA,O41
Johnson Creek Airport,ID,3U2
Yerington Municipal Airport,NV,O43
Aberdeen Regional Airport,SD,ABR
Decatur Airport,IL,DEC
Dothan Regional Airport,AL,DHN
DuBois Regional Airport,PA,DUJ
Lake Charles Regional Airport,LA,LCH
Middle Georgia Regional Airport,GA,MCN
St Cloud Regional Airport,MN,STC
Texarkana Regional Webb Field,AR,TXK
Joslin Field Magic Valley Regional Airport,ID,TWF
Yakima Air Terminal McAllister Field,WA,YKM
Brunswick Golden Isles Airport,GA,BQK
Laramie Regional Airport,WY,LAR
Travis Air Force Base,CA,SUU
Kirksville Regional Airport,MO,IRK
Kearney Regional Airport,NE,EAR
Rosecrans Memorial Airport,MO,STJ
Delaware County Johnson Field,IN,MIE
Smyrna Airport,TN,MQY
Stillwater Regional Airport,OK,SWO
Gillette Campbell County Airport,WY,GCC
Angelina County Airport,TX,LFK
Vernal Regional Airport,UT,VEL
Agua Dulce Airpark,CA,L70
Ardmore Municipal Airport,OK,ADM
Peachtree City Falcon Field,GA,FFC
Banning Municipal Airport,CA,BNG
Bessemer Airport,AL,EKY
Rogers Field,CA,O05
Schaumburg Regional Airport,IL,06C
Bolton Field,OH,TZR
Coolidge Municipal Airport,AZ,P08
Deland Municipal Sidney H Taylor Field,FL,DED
Easton Newnam Field,MD,ESN
Katama Airpark,MA,1B2
Everglades Airpark,FL,X01
Gainesville Municipal Airport,TX,GLE
Phoenix Goodyear Airport,AZ,GYR
Eagle Creek Airpark,IN,EYE
Inyokern Airport,CA,IYK
Kingston-Ulster Airport,NY,20N
La Belle Municipal Airport,FL,X14
Lake Placid Airport,NY,LKP
Leesburg Executive Airport,VA,JYO
Mackinac Island Airport,MI,MCD
Blue Ridge Airport,VA,MTV
Mesquite Metro Airport,TX,HQZ
Middleton Municipal Morey Field,WI,C29
Sky Acres Airport,NY,44N
Orange County Airport,NY,MGJ
New Braunfels Municipal Airport,TX,BAZ
University of Oklahoma Westheimer Airport,OK,OUN
Johnson County Executive Airport,KS,OJC
Plymouth Municipal Airport,MA,PYM
Red Wing Regional Airport,MN,RGK
Chesterfield County Airport,VA,FCI
Flabob Airport,CA,RIR
Aransas County Airport,TX,RKP
Calaveras Co Maury Rasmussen Field,CA,CPU
Sonoma Skypark Airport,CA,0Q9
Suffolk Executive Airport,VA,SFQ
Sunriver Airport,OR,S21
Toccoa Airport - R.G. Letourneau Field,GA,TOC
Southern California Logistics Airport,CA,VCV
Winchester Regional Airport,VA,OKV
Barrow County Airport,GA,WDR
Chicago Meigs Airport,IL,
Jack Mc Namara Field Airport,CA,CEC
Massena International Richards Field,NY,MSS
Northwest Alabama Regional Airport,AL,MSL
Quincy Regional Baldwin Field,IL,UIN
Western Neb. Rgnl/William B. Heilig Airport,NE,BFF
Tupelo Regional Airport,MS,TUP
Liberal Mid-America Regional Airport,KS,LBL
Monroe County Airport,IN,BMG
Topeka Regional Airport - Forbes Field,KS,FOE
London-Corbin Airport/Magee Field,KY,LOZ
Felts Field,WA,SFF
Elmendorf Air Force Base,AK,EDF
Del Rio Intl,TX,DRT
Murray Field,CA,EKA
Lewiston Nez Perce County Airport,ID,LWS
Nogales Intl,AZ,OLS
Portland Troutdale Airport,OR,TTD
Richard B Russell Airport,GA,RMG
Columbia Gorge Regional the Dalles Municipal Airport,OR,DLS
Pangborn Memorial Airport,WA,EAT
Winnemucca Municipal Airport,NV,WMC
Auburn Municipal Airport,WA,S50
Bartlesville Municipal Airport,OK,BVO
Genesee County Airport,NY,GVQ
Monmouth Executive Airport,NJ,BLM
California City Municipal Airport,CA,L71
Lansing Municipal Airport,IL,IGQ
Compton Woodley Airport,CA,CPM
Cottonwood Airport,AZ,P52
Yolo County Davis Woodland Winters Airport,CA,DWA
