,title,release,distributor,director,rate,directorEff,actorEff,distributorEff,season,release.1,productContinent,showtime,trailershow,genre액션,genre범죄,genre드라마,genre코미디,genre어드벤처,genre멜로.로맨스,genreSF,genre다큐멘터리,genre공연,genre판타지,genre애니메이션,genre공포.호러.,genre성인물.에로.,genre사극,genre미스터리,star.1,firstppl,allpeople
82,주피터 어센딩,2015-02-05,워너브러더스 코리아(주),라나 워쇼스키,12세이상관람가,381242,204391.75,1924465,0,목요일,북아메리카,127,907278,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,C,699,309842
83,꿈보다 해몽,2015-02-12,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),이광국,15세이상관람가,1440.666667,326683,20045.6,0,목요일,아시아,98,33221,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,B,463,4427
84,세비야의 이발사,2015-02-04,에스디시코리아 주식회사,다미아노 미키엘레토,전체관람가,1642,NA,1673.75,0,수요일,유럽,200,5433,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A,334,2024
85,참을 수 없는 사랑,2015-01-29,스크린조이,메리 스튜어트 매스터슨,15세이상관람가,326712.2252,63219.5,1180.44898,0,목요일,북아메리카,86,15011,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,B,159,159
86,이다,2015-02-18,시네마 뉴원,파웰 파울리코우스키,15세이상관람가,15493,5245,15493,1,수요일,유럽,90,30993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,150,15686
87,화끈한 써비스: 어느 잔인한 미용사의,2015-01-29,골든타이드픽처스(주),남기웅,청소년관람불가,90,125.3333333,3295.125,0,목요일,아시아,72,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,76,148
88,리바이어던,2015-03-19,,베레나 파라벨,청소년관람불가,0,NA,NA,0,목요일,북아메리카,140,55293,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,62,10380
89,비밀: 아내의 남자,2015-02-04,(주)나우콘텐츠,이상화,청소년관람불가,713.5,0.5,48.81481481,0,수요일,아시아,86,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,54,54
90,킬러스,2015-02-04,씨네그루(주)다우기술,키모 스탐보엘,청소년관람불가,50,93117,158754.7931,0,수요일,아시아,100,91119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,50,50
91,타임 랩스,2015-01-29,(주)컴퍼니엘,브래들리 킹,청소년관람불가,10,10,173.5714286,0,목요일,북아메리카,103,24085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,C,10,10
92,익스트림 피어,2015-01-29,스크린조이,마이클 코르빅,청소년관람불가,717648.7738,0,1180.44898,0,목요일,북아메리카,74,2485,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,D,8,16
93,마피아,2015-01-29,스크린조이,라이언 콤즈,청소년관람불가,16,16,1180.44898,0,목요일,북아메리카,94,6618,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D,6,16
94,스페이스 둠스데이,2015-01-29,스크린조이,닐 존슨,15세이상관람가,323.5,0,1180.44898,0,목요일,북아메리카,83,31937,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,C,6,18
95,정사: 위험한 성적 유희 무삭제판,2015-01-29,(주)케이알씨지,이민환,청소년관람불가,342,405,489.7926829,0,목요일,아시아,74,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,4,4
